arquivo,link
2017Tarefa1-GrupoC.pdf,https://drive.google.com/file/d/1O3YgnNH0iE9pzbTu46OZqFRVPpPOXkfM/view?usp=drivesdk
2017Tarefa5-GrupoC.pdf,https://drive.google.com/file/d/1QYmgYa5cXNLYH0KI_D69u6WNKQrUfwjx/view?usp=drivesdk
2017Tarefa1-GrupoD.pdf,https://drive.google.com/file/d/1Qc9TFk0sFpcFQjQe2hEEM2GrG4MKX5xY/view?usp=drivesdk
2017Tarefa3-GrupoD.pdf,https://drive.google.com/file/d/1UFW_UNu4OFEMeGN08Ds7JA9Ab-_5FuLj/view?usp=drivesdk
2017Tarefa3-GrupoC.pdf,https://drive.google.com/file/d/1ZRaZ0fDMzN4CLV2bI-lOjCz_aDnUkEyW/view?usp=drivesdk
2017Tarefa3-GrupoA.pdf,https://drive.google.com/file/d/1_48wHF4G5B4qDK6SAG5rczPRVX4Y09Jd/view?usp=drivesdk
2017Tarefa2-GrupoC.pdf,https://drive.google.com/file/d/1dXubV8hAJZ7_-MnWMYaMpLVtQDxsaXeK/view?usp=drivesdk
2017Tarefa5-GrupoE.pdf,https://drive.google.com/file/d/1h3ETMJFwCf_MZTMVGzFC2a85gz-aPLuU/view?usp=drivesdk
2017Tarefa4-GrupoD.pdf,https://drive.google.com/file/d/1i0kCKG8_EVzuVlbZalgu4pWR5DkQLlzC/view?usp=drivesdk
2017Tarefa4-GrupoA.pdf,https://drive.google.com/file/d/1lzhG6ZOqozekMUKRY6wh49ex3kMGre9H/view?usp=drivesdk
2017Tarefa3-GrupoB.pdf,https://drive.google.com/file/d/1mgoyL-281v0edQhXJ4SDtvftzLqRYDKw/view?usp=drivesdk
2017Tarefa4-GrupoC.pdf,https://drive.google.com/file/d/1nhwDzMAeKFskVW-AVxBAxemT32AwTQP7/view?usp=drivesdk
2017Tarefa1-GrupoB.pdf,https://drive.google.com/file/d/1uGuqgvKQICb2N4396AObeSyfefgpnFYR/view?usp=drivesdk
2017Tarefa2-GrupoB.pdf,https://drive.google.com/file/d/1xa3cm1jCZrDLcZAR9GXCXAB4NVGk-wPB/view?usp=drivesdk
2017Tarefa4-GrupoE.pdf,https://drive.google.com/file/d/1yLcV6xyfL1yolOpxEZxQa3dJIKIj5XZM/view?usp=drivesdk
